band,point,freq_Hz,amplitude_dBuV
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",114,36600.0,2.387419
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",115,36833.333333333336,3.235492
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",116,37066.66666666667,3.435183
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",117,37300.0,3.63038
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",118,37533.333333333336,2.821807
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",119,37766.66666666667,2.750902
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",120,38000.0,2.821807
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",121,38233.333333333336,2.237653
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",122,38466.66666666667,0.6691169
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",123,38700.0,1.447477
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",124,38933.333333333336,3.500729
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",125,39166.66666666667,3.302574
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",126,39400.0,3.821287
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",127,39633.333333333336,3.758115
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",128,39866.66666666667,2.008056
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",129,40100.0,1.772232
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",130,40333.333333333336,1.280441
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",131,40566.66666666667,1.023692
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",132,40800.0,0.299453
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",133,41033.333333333336,2.961903
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",134,41266.66666666667,2.161789
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",135,41500.0,1.93016
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",136,41733.333333333336,0.4862499
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",137,41966.66666666667,-0.08665074
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",138,42200.0,2.387419
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",139,42433.333333333336,4.660568
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",140,42666.66666666667,1.93016
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",141,42900.0,1.023692
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",142,43133.333333333336,0.9364032
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",143,43366.66666666667,0.5781641
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",144,43600.0,1.023692
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",145,43833.333333333336,1.195708
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",146,44066.66666666667,0.5781641
"{'label': '10 kHz – 150 kHz', 'start_hz': 10000, 'stop_hz': 150000, 'rbw_hz': 200, 'ref_level': 20}",147,44300.0,0.8482159
